# Oscilloscope file ./2K-res-100uA-U.bin
# Channel 2
Time / s;Voltage / V
0;0.016
0.25;0
0.5;0.008
0.75;0.016
1;0.016
1.25;0
1.5;0.008
1.75;0.016
2;0.016
2.25;0
2.5;0.016
2.75;0.008
3;0.016
3.25;0
3.5;0.016
3.75;0.008
4;0.016
4.25;0
4.5;0.016
4.75;0.008
5;0.016
5.25;0
5.5;0.008
5.75;0.008
6;0.016
6.25;0
6.5;0.016
6.75;0.008
7;0.016
7.25;0
7.5;0.008
7.75;0.008
8;0.016
8.25;0
8.5;0.016
8.75;0.008
9;0.016
9.25;0
9.5;0.008
9.75;0.016
10;0.016
10.25;0
10.5;0.016
10.75;0.016
11;0.016
11.25;0
11.5;0.008
11.75;0.008
12;0.016
12.25;0
12.5;0.016
12.75;0.008
13;0.016
13.25;0
13.5;0.008
13.75;0.008
14;0.016
14.25;0
14.5;0.008
14.75;0.008
15;0.016
15.25;0
15.5;0.008
15.75;0.008
16;0.016
16.25;0
16.5;0.008
16.75;0.008
17;0.016
17.25;0
17.5;0.008
17.75;0.008
18;0.016
18.25;0
18.5;0.008
18.75;0.016
19;0.016
19.25;0
19.5;0.016
19.75;0.008
20;0.016
20.25;0
20.5;0.008
20.75;0.016
21;0.024
21.25;0
21.5;0.008
21.75;0.016
22;0.016
22.25;0
22.5;0.008
22.75;0.008
23;0.016
23.25;0
23.5;0.008
23.75;0.008
24;0.016
24.25;0
24.5;0.008
24.75;0.016
25;0.016
25.25;0
25.5;0.016
25.75;0.008
26;0.024
26.25;0
26.5;0.008
26.75;0.008
27;0.024
27.25;0
27.5;0.016
27.75;0.008
28;0.016
28.25;0
28.5;0.016
28.75;0.016
29;0.016
29.25;0
29.5;0.008
29.75;0.008
30;0.016
30.25;0
30.5;0.008
30.75;0.008
31;0.016
31.25;0
31.5;0.008
31.75;0.016
32;0.024
32.25;0
32.5;0.016
32.75;0.008
33;0.016
33.25;0
33.5;0.008
33.75;0.008
34;0.016
34.25;0
34.5;0.016
34.75;0.008
35;0.016
35.25;0
35.5;0.008
35.75;0.008
36;0.016
36.25;0
36.5;0.008
36.75;0.008
37;0.024
37.25;0
37.5;0.008
37.75;0.016
38;0.016
38.25;0
38.5;0.016
38.75;0.008
39;0.024
39.25;0
39.5;0.008
39.75;0.008
40;0.024
40.25;0
40.5;0.008
40.75;0.008
41;0.016
41.25;0
41.5;0.016
41.75;0.008
42;0.016
42.25;0
42.5;0.016
42.75;0.016
43;0.024
43.25;0
43.5;0.016
43.75;0.008
44;0.016
44.25;0
44.5;0.016
44.75;0.008
45;0.016
45.25;0
45.5;0.008
45.75;0.008
46;0.016
46.25;0
46.5;0.016
46.75;0.016
47;0.016
47.25;0
47.5;0.008
47.75;0.016
48;0.016
48.25;0
48.5;0.016
48.75;0.016
49;0.016
49.25;0
49.5;0.008
49.75;0.008
50;0.016
50.25;0
50.5;0.008
50.75;0.008
51;0.024
51.25;0
51.5;0.008
51.75;0.008
52;0.016
52.25;0
52.5;0.008
52.75;0.008
53;0.024
53.25;0
53.5;0.008
53.75;0.008
54;0.016
54.25;0
54.5;0.008
54.75;0.008
55;0.024
55.25;0
55.5;0.008
55.75;0.016
56;0.016
56.25;0
56.5;0.016
56.75;0.016
57;0.016
57.25;0
57.5;0.016
57.75;0.008
58;0.024
58.25;0
58.5;0.016
58.75;0.008
59;0.016
59.25;0
59.5;0.016
59.75;0.008
60;0.016
60.25;0
60.5;0.008
60.75;0.008
61;0.016
61.25;0
61.5;0.008
61.75;0.008
62;0.024
62.25;0
62.5;0.016
62.75;0.008
63;0.024
63.25;0
63.5;0.008
63.75;0.008
64;0.016
64.25;0
64.5;0.008
64.75;0.016
65;0.024
65.25;0
65.5;0.008
65.75;0.016
66;0.016
66.25;0
66.5;0.008
66.75;0.008
67;0.016
67.25;0
67.5;0.016
67.75;0.008
68;0.016
68.25;0
68.5;0.008
68.75;0.016
69;0.016
69.25;0
69.5;0.008
69.75;0.008
70;0.016
70.25;0
70.5;0.016
70.75;0.016
71;0.016
71.25;0
71.5;0.016
71.75;0.016
72;0.016
72.25;0
72.5;0.008
72.75;0.016
73;0.024
73.25;0
73.5;0.008
73.75;0.008
74;0.016
74.25;0
74.5;0.008
74.75;0.016
75;0.016
75.25;0
75.5;0.008
75.75;0.008
76;0.016
76.25;0
76.5;0.008
76.75;0.016
77;0.016
77.25;0
77.5;0.008
77.75;0.008
78;0.016
78.25;0
78.5;0.008
78.75;0.016
79;0.016
79.25;0
79.5;0.008
79.75;0.016
80;0.016
80.25;0
80.5;0.016
80.75;0.008
81;0.016
81.25;0.008
81.5;0.008
81.75;0.016
82;0.016
82.25;0
82.5;0.008
82.75;0.008
83;0.024
83.25;0
83.5;0.016
83.75;0.008
84;0.024
84.25;0
84.5;0.008
84.75;0.008
85;0.024
85.25;0
85.5;0.016
85.75;0.016
86;0.016
86.25;0
86.5;0.008
86.75;0.008
87;0.024
87.25;0.008
87.5;0.008
87.75;0.016
88;0.024
88.25;0.008
88.5;0.008
88.75;0.008
89;0.024
89.25;0.008
89.5;0.016
89.75;0.016
90;0.024
90.25;0.008
90.5;0.008
90.75;0.016
91;0.024
91.25;0.008
91.5;0.008
91.75;0.016
92;0.024
92.25;0.008
92.5;0.016
92.75;0.016
93;0.024
93.25;0.008
93.5;0.016
93.75;0.016
94;0.024
94.25;0.008
94.5;0.016
94.75;0.008
95;0.024
95.25;0.008
95.5;0.016
95.75;0.008
96;0.024
96.25;0.008
96.5;0.016
96.75;0.016
97;0.024
97.25;0.008
97.5;0.016
97.75;0.016
98;0.024
98.25;0.008
98.5;0.016
98.75;0.016
99;0.024
99.25;0.008
99.5;0.016
99.75;0.016
100;0.024
100.25;0.008
100.5;0.016
100.75;0.024
101;0.032
101.25;0.016
101.5;0.016
101.75;0.016
102;0.032
102.25;0.016
102.5;0.016
102.75;0.016
103;0.032
103.25;0.008
103.5;0.024
103.75;0.024
104;0.032
104.25;0.016
104.5;0.024
104.75;0.024
105;0.032
105.25;0.016
105.5;0.024
105.75;0.024
106;0.04
106.25;0.016
106.5;0.024
106.75;0.032
107;0.04
107.25;0.024
107.5;0.032
107.75;0.032
108;0.04
108.25;0.024
108.5;0.032
108.75;0.032
109;0.048
109.25;0.024
109.5;0.04
109.75;0.04
110;0.048
110.25;0.032
110.5;0.04
110.75;0.04
111;0.056
111.25;0.032
111.5;0.048
111.75;0.048
112;0.056
112.25;0.04
112.5;0.048
112.75;0.048
113;0.064
113.25;0.048
113.5;0.056
113.75;0.056
114;0.072
114.25;0.048
114.5;0.064
114.75;0.064
115;0.072
115.25;0.056
115.5;0.072
115.75;0.072
116;0.08
116.25;0.064
116.5;0.072
116.75;0.072
117;0.088
117.25;0.064
117.5;0.08
117.75;0.08
118;0.096
118.25;0.08
118.5;0.088
118.75;0.088
119;0.104
119.25;0.08
119.5;0.096
119.75;0.096
120;0.112
120.25;0.088
120.5;0.104
120.75;0.104
121;0.112
121.25;0.096
121.5;0.112
121.75;0.112
122;0.12
122.25;0.104
122.5;0.12
122.75;0.12
123;0.128
123.25;0.112
123.5;0.12
123.75;0.128
124;0.136
124.25;0.12
124.5;0.136
124.75;0.128
125;0.144
125.25;0.12
125.5;0.136
125.75;0.136
126;0.144
126.25;0.128
126.5;0.144
126.75;0.144
127;0.152
127.25;0.128
127.5;0.144
127.75;0.144
128;0.16
128.25;0.136
128.5;0.152
128.75;0.152
129;0.16
129.25;0.144
129.5;0.16
129.75;0.16
130;0.168
130.25;0.152
130.5;0.16
130.75;0.16
131;0.168
131.25;0.152
131.5;0.16
131.75;0.16
132;0.176
132.25;0.16
132.5;0.16
132.75;0.168
133;0.176
133.25;0.16
133.5;0.176
133.75;0.168
134;0.176
134.25;0.16
134.5;0.176
134.75;0.176
135;0.184
135.25;0.168
135.5;0.176
135.75;0.176
136;0.184
136.25;0.168
136.5;0.176
136.75;0.176
137;0.192
137.25;0.176
137.5;0.184
137.75;0.184
138;0.192
138.25;0.176
138.5;0.184
138.75;0.184
139;0.192
139.25;0.176
139.5;0.192
139.75;0.184
140;0.2
140.25;0.184
140.5;0.192
140.75;0.184
141;0.2
141.25;0.184
141.5;0.192
141.75;0.192
142;0.2
142.25;0.184
142.5;0.192
142.75;0.192
143;0.2
143.25;0.184
143.5;0.192
143.75;0.2
144;0.2
144.25;0.192
144.5;0.2
144.75;0.2
145;0.208
145.25;0.192
145.5;0.2
145.75;0.2
146;0.208
146.25;0.192
146.5;0.2
146.75;0.2
147;0.208
147.25;0.192
147.5;0.2
147.75;0.2
148;0.208
148.25;0.192
148.5;0.2
