# Oscilloscope file ./2K-hall-20uA-U.bin
# Channel 2
Time / s;Voltage / V
0;0.072
0.25;0.076
0.5;0.07
0.75;0.072
1;0.074
1.25;0.076
1.5;0.07
1.75;0.074
2;0.074
2.25;0.078
2.5;0.07
2.75;0.074
3;0.074
3.25;0.078
3.5;0.07
3.75;0.076
4;0.074
4.25;0.08
4.5;0.07
4.75;0.078
5;0.074
5.25;0.08
5.5;0.072
5.75;0.076
6;0.076
6.25;0.082
6.5;0.072
6.75;0.076
7;0.078
7.25;0.082
7.5;0.074
7.75;0.078
8;0.078
8.25;0.082
8.5;0.074
8.75;0.08
9;0.08
9.25;0.084
9.5;0.074
9.75;0.08
10;0.078
10.25;0.084
10.5;0.076
10.75;0.082
11;0.08
11.25;0.086
11.5;0.076
11.75;0.082
12;0.082
12.25;0.086
12.5;0.078
12.75;0.082
13;0.082
13.25;0.086
13.5;0.078
13.75;0.084
14;0.082
14.25;0.088
14.5;0.08
14.75;0.084
15;0.084
15.25;0.088
15.5;0.08
15.75;0.084
16;0.086
16.25;0.09
16.5;0.08
16.75;0.086
17;0.086
17.25;0.09
17.5;0.082
17.75;0.086
18;0.086
18.25;0.09
18.5;0.082
18.75;0.086
19;0.088
19.25;0.09
19.5;0.082
19.75;0.09
20;0.088
20.25;0.092
20.5;0.082
20.75;0.088
21;0.088
21.25;0.092
21.5;0.084
21.75;0.088
22;0.09
22.25;0.092
22.5;0.084
22.75;0.088
23;0.088
23.25;0.092
23.5;0.084
23.75;0.088
24;0.088
24.25;0.094
24.5;0.084
24.75;0.088
25;0.088
25.25;0.094
25.5;0.086
25.75;0.088
26;0.09
26.25;0.094
26.5;0.086
26.75;0.092
27;0.09
27.25;0.094
27.5;0.084
27.75;0.092
28;0.088
28.25;0.094
28.5;0.086
28.75;0.09
29;0.088
29.25;0.096
29.5;0.086
29.75;0.09
30;0.09
30.25;0.094
30.5;0.086
30.75;0.09
31;0.09
31.25;0.094
31.5;0.086
31.75;0.09
32;0.09
32.25;0.096
32.5;0.086
32.75;0.09
33;0.09
33.25;0.094
33.5;0.086
33.75;0.09
34;0.092
34.25;0.094
34.5;0.086
34.75;0.09
35;0.092
35.25;0.096
35.5;0.086
35.75;0.088
36;0.094
36.25;0.094
36.5;0.086
36.75;0.09
37;0.09
37.25;0.096
37.5;0.086
37.75;0.09
38;0.09
38.25;0.096
38.5;0.086
38.75;0.092
39;0.088
39.25;0.096
39.5;0.086
39.75;0.088
40;0.09
40.25;0.094
40.5;0.086
40.75;0.09
41;0.09
41.25;0.096
41.5;0.086
41.75;0.092
42;0.092
42.25;0.096
42.5;0.086
42.75;0.092
43;0.09
43.25;0.096
43.5;0.088
43.75;0.092
44;0.094
44.25;0.096
44.5;0.088
44.75;0.092
45;0.092
45.25;0.096
45.5;0.088
45.75;0.094
46;0.092
46.25;0.096
46.5;0.086
46.75;0.092
47;0.09
47.25;0.096
47.5;0.088
47.75;0.092
48;0.092
48.25;0.096
48.5;0.088
48.75;0.092
49;0.09
49.25;0.098
49.5;0.088
49.75;0.092
50;0.092
50.25;0.098
50.5;0.088
50.75;0.092
51;0.092
51.25;0.098
51.5;0.09
51.75;0.094
52;0.094
52.25;0.098
52.5;0.088
52.75;0.092
53;0.094
53.25;0.098
53.5;0.09
53.75;0.094
54;0.096
54.25;0.1
54.5;0.09
54.75;0.096
55;0.096
55.25;0.1
55.5;0.092
55.75;0.096
56;0.094
56.25;0.102
56.5;0.092
56.75;0.096
57;0.096
57.25;0.102
57.5;0.092
57.75;0.096
58;0.096
58.25;0.104
58.5;0.094
58.75;0.098
59;0.098
59.25;0.102
59.5;0.094
59.75;0.098
60;0.098
60.25;0.104
60.5;0.094
60.75;0.1
61;0.1
61.25;0.106
61.5;0.096
61.75;0.1
62;0.1
62.25;0.106
62.5;0.096
62.75;0.1
63;0.102
63.25;0.106
63.5;0.098
63.75;0.102
64;0.102
64.25;0.106
64.5;0.098
64.75;0.104
65;0.104
65.25;0.11
65.5;0.1
65.75;0.104
66;0.102
66.25;0.108
66.5;0.1
66.75;0.104
67;0.104
67.25;0.11
67.5;0.102
67.75;0.106
68;0.106
68.25;0.112
68.5;0.102
68.75;0.108
69;0.108
69.25;0.112
69.5;0.102
69.75;0.108
