# Oscilloscope file ./4K-hall-20uA-U.bin
# Channel 2
Time / s;Voltage / V
0;0.07
0.25;0.074
0.5;0.066
0.75;0.07
1;0.07
1.25;0.074
1.5;0.066
1.75;0.072
2;0.07
2.25;0.074
2.5;0.064
2.75;0.07
3;0.07
3.25;0.074
3.5;0.066
3.75;0.072
4;0.072
4.25;0.074
4.5;0.066
4.75;0.07
5;0.072
5.25;0.076
5.5;0.068
5.75;0.072
6;0.074
6.25;0.076
6.5;0.068
6.75;0.074
7;0.074
7.25;0.078
7.5;0.068
7.75;0.074
8;0.074
8.25;0.078
8.5;0.068
8.75;0.074
9;0.074
9.25;0.078
9.5;0.07
9.75;0.074
10;0.074
10.25;0.08
10.5;0.07
10.75;0.074
11;0.074
11.25;0.078
11.5;0.072
11.75;0.076
12;0.074
12.25;0.08
12.5;0.07
12.75;0.076
13;0.076
13.25;0.08
13.5;0.072
13.75;0.076
14;0.076
14.25;0.08
14.5;0.072
14.75;0.076
15;0.078
15.25;0.08
15.5;0.072
15.75;0.076
16;0.076
16.25;0.082
16.5;0.074
16.75;0.08
17;0.078
17.25;0.084
17.5;0.074
17.75;0.08
18;0.076
18.25;0.084
18.5;0.076
18.75;0.078
19;0.078
19.25;0.084
19.5;0.076
19.75;0.08
20;0.08
20.25;0.084
20.5;0.076
20.75;0.08
21;0.082
21.25;0.086
21.5;0.078
21.75;0.082
22;0.082
22.25;0.086
22.5;0.078
22.75;0.082
23;0.082
23.25;0.086
23.5;0.078
23.75;0.082
24;0.082
24.25;0.088
24.5;0.078
24.75;0.084
25;0.082
25.25;0.088
25.5;0.078
25.75;0.082
26;0.086
26.25;0.088
26.5;0.08
26.75;0.084
27;0.086
27.25;0.09
27.5;0.08
27.75;0.084
28;0.084
28.25;0.088
28.5;0.08
28.75;0.084
29;0.082
29.25;0.09
29.5;0.082
29.75;0.082
30;0.084
30.25;0.09
30.5;0.082
30.75;0.086
31;0.086
31.25;0.09
31.5;0.082
31.75;0.086
32;0.086
32.25;0.09
32.5;0.082
32.75;0.086
33;0.086
33.25;0.092
33.5;0.082
33.75;0.088
34;0.086
34.25;0.092
34.5;0.084
34.75;0.086
35;0.086
35.25;0.092
35.5;0.084
35.75;0.088
36;0.088
36.25;0.092
36.5;0.082
36.75;0.09
37;0.088
37.25;0.092
37.5;0.084
37.75;0.088
38;0.088
38.25;0.092
38.5;0.084
38.75;0.088
39;0.088
39.25;0.094
39.5;0.084
39.75;0.09
40;0.088
40.25;0.092
40.5;0.084
40.75;0.09
41;0.09
41.25;0.094
41.5;0.086
41.75;0.088
42;0.09
42.25;0.094
42.5;0.086
42.75;0.09
43;0.09
43.25;0.094
43.5;0.084
43.75;0.09
44;0.09
44.25;0.094
44.5;0.086
44.75;0.09
45;0.09
45.25;0.094
45.5;0.086
45.75;0.09
46;0.09
46.25;0.094
46.5;0.086
46.75;0.09
47;0.09
47.25;0.094
47.5;0.086
47.75;0.09
48;0.09
48.25;0.094
48.5;0.086
48.75;0.09
49;0.09
49.25;0.096
49.5;0.088
49.75;0.09
50;0.092
50.25;0.098
50.5;0.086
50.75;0.09
51;0.092
51.25;0.096
51.5;0.088
51.75;0.092
52;0.094
52.25;0.096
52.5;0.088
52.75;0.092
53;0.092
53.25;0.098
53.5;0.088
53.75;0.094
54;0.094
54.25;0.098
54.5;0.088
54.75;0.094
55;0.094
55.25;0.098
55.5;0.088
55.75;0.094
56;0.094
56.25;0.098
56.5;0.09
56.75;0.094
57;0.094
57.25;0.098
57.5;0.09
57.75;0.094
58;0.094
58.25;0.1
58.5;0.09
58.75;0.094
59;0.096
59.25;0.1
59.5;0.09
59.75;0.096
60;0.094
60.25;0.102
60.5;0.09
60.75;0.096
61;0.096
61.25;0.102
61.5;0.092
61.75;0.098
62;0.098
62.25;0.102
62.5;0.094
62.75;0.098
63;0.098
63.25;0.102
63.5;0.092
63.75;0.098
64;0.098
64.25;0.102
64.5;0.094
64.75;0.1
65;0.1
65.25;0.104
65.5;0.094
65.75;0.098
66;0.1
66.25;0.104
66.5;0.094
66.75;0.102
67;0.1
67.25;0.104
67.5;0.096
67.75;0.104
68;0.1
68.25;0.104
68.5;0.096
68.75;0.1
69;0.102
69.25;0.106
69.5;0.098
69.75;0.102
70;0.102
70.25;0.106
70.5;0.098
70.75;0.104
71;0.104
71.25;0.108
71.5;0.096
71.75;0.102
72;0.102
72.25;0.108
72.5;0.1
72.75;0.104
73;0.106
73.25;0.108
73.5;0.1
73.75;0.104
74;0.104
74.25;0.11
74.5;0.102
74.75;0.104
75;0.106
75.25;0.11
75.5;0.102
75.75;0.106
76;0.106
76.25;0.112
76.5;0.102
76.75;0.106
77;0.106
77.25;0.112
77.5;0.1
77.75;0.108
78;0.106
78.25;0.114
78.5;0.104
78.75;0.108
79;0.108
79.25;0.114
79.5;0.104
79.75;0.11
80;0.108
80.25;0.114
80.5;0.106
80.75;0.112
81;0.11
81.25;0.116
81.5;0.106
81.75;0.112
82;0.11
82.25;0.116
82.5;0.108
82.75;0.112
83;0.112
83.25;0.116
83.5;0.108
83.75;0.112
84;0.114
84.25;0.118
84.5;0.108
84.75;0.114
85;0.112
85.25;0.118
85.5;0.11
85.75;0.114
86;0.114
86.25;0.12
86.5;0.112
86.75;0.114
87;0.116
87.25;0.12
87.5;0.112
87.75;0.116
88;0.118
88.25;0.122
88.5;0.112
88.75;0.118
89;0.116
89.25;0.122
89.5;0.114
89.75;0.118
90;0.118
90.25;0.122
90.5;0.114
90.75;0.118
91;0.118
91.25;0.124
91.5;0.114
91.75;0.12
92;0.12
92.25;0.124
92.5;0.116
92.75;0.12
93;0.122
93.25;0.126
93.5;0.116
93.75;0.12
94;0.122
94.25;0.126
94.5;0.118
94.75;0.122
95;0.122
95.25;0.128
95.5;0.118
95.75;0.122
96;0.124
96.25;0.128
96.5;0.118
96.75;0.124
97;0.124
97.25;0.128
97.5;0.118
97.75;0.124
98;0.124
98.25;0.13
98.5;0.12
98.75;0.124
99;0.124
99.25;0.13
99.5;0.12
