# Oscilloscope file ./4K-res-20uA-B.bin
# Channel 1
Time / s;Voltage / V
0;5.28
0.25;5.16
0.5;5.24
0.75;5.2
1;5.24
1.25;5.16
1.5;5.2
1.75;5.24
2;5.28
2.25;5.16
2.5;5.2
2.75;5.24
3;5.28
3.25;5.16
3.5;5.24
3.75;5.24
4;5.24
4.25;5.16
4.5;5.24
4.75;5.24
5;5.28
5.25;5.16
5.5;5.2
5.75;5.24
6;5.24
6.25;5.16
6.5;5.24
6.75;5.2
7;5.24
7.25;5.16
7.5;5.24
7.75;5.2
8;5.28
8.25;5.16
8.5;5.2
8.75;5.24
9;5.28
9.25;5.16
9.5;5.24
9.75;5.2
10;5.28
10.25;5.16
10.5;5.2
10.75;5.24
11;5.28
11.25;5.16
11.5;5.2
11.75;5.2
12;5.24
12.25;5.16
12.5;5.2
12.75;5.2
13;5.24
13.25;5.16
13.5;5.2
13.75;5.2
14;5.24
14.25;5.16
14.5;5.2
14.75;5.2
15;5.24
15.25;5.16
15.5;5.2
15.75;5.16
16;5.24
16.25;5.16
16.5;5.2
16.75;5.2
17;5.24
17.25;5.12
17.5;5.16
17.75;5.16
18;5.2
18.25;5.12
18.5;5.16
18.75;5.16
19;5.2
19.25;5.12
19.5;5.16
19.75;5.16
20;5.2
20.25;5.12
20.5;5.16
20.75;5.16
21;5.2
21.25;5.08
21.5;5.16
21.75;5.12
22;5.2
22.25;5.08
22.5;5.12
22.75;5.12
23;5.16
23.25;5.08
23.5;5.16
23.75;5.16
24;5.16
24.25;5.08
24.5;5.12
24.75;5.12
25;5.16
25.25;5.08
25.5;5.12
25.75;5.12
26;5.16
26.25;5.08
26.5;5.12
26.75;5.12
27;5.16
27.25;5.04
27.5;5.12
27.75;5.12
28;5.16
28.25;5.04
28.5;5.08
28.75;5.08
29;5.12
29.25;5.04
29.5;5.08
29.75;5.08
30;5.12
30.25;5.04
30.5;5.08
30.75;5.08
31;5.12
31.25;5.04
31.5;5.08
31.75;5.08
32;5.12
32.25;5.04
32.5;5.08
32.75;5.08
33;5.12
33.25;5
33.5;5.04
33.75;5.08
34;5.12
34.25;5
34.5;5.04
34.75;5.04
35;5.08
35.25;5
35.5;5.04
35.75;5.04
36;5.08
36.25;5
36.5;5.04
36.75;5.04
37;5.08
37.25;5
37.5;5
37.75;5.04
38;5.08
38.25;5
38.5;5.04
38.75;5.04
39;5.08
39.25;4.96
39.5;5.04
39.75;5
40;5.04
40.25;4.96
40.5;5
40.75;5
41;5.04
41.25;4.96
41.5;5
41.75;5
42;5.04
42.25;4.96
42.5;5
42.75;5
43;5.04
43.25;4.96
43.5;4.96
43.75;5
44;5.04
44.25;4.92
44.5;5
44.75;4.96
45;5.04
45.25;4.92
45.5;4.96
45.75;4.96
46;5
46.25;4.92
46.5;4.96
46.75;4.96
47;5
47.25;4.92
47.5;4.96
47.75;4.96
48;5
48.25;4.92
48.5;4.96
48.75;4.96
49;5
49.25;4.92
49.5;4.92
49.75;4.92
50;5
50.25;4.88
50.5;4.92
50.75;4.92
51;4.96
51.25;4.88
51.5;4.92
51.75;4.92
52;4.96
52.25;4.88
52.5;4.92
52.75;4.92
53;4.96
53.25;4.88
53.5;4.92
53.75;4.92
54;4.96
54.25;4.88
54.5;4.92
54.75;4.92
55;4.96
55.25;4.84
55.5;4.92
55.75;4.88
56;4.96
56.25;4.84
56.5;4.88
56.75;4.92
57;4.92
57.25;4.84
57.5;4.88
57.75;4.88
58;4.92
58.25;4.84
58.5;4.88
58.75;4.88
59;4.92
59.25;4.84
59.5;4.88
59.75;4.88
60;4.92
60.25;4.8
60.5;4.88
60.75;4.88
61;4.92
61.25;4.8
61.5;4.84
61.75;4.88
62;4.88
62.25;4.8
62.5;4.84
62.75;4.84
63;4.88
63.25;4.8
63.5;4.84
63.75;4.84
64;4.88
64.25;4.8
64.5;4.84
64.75;4.84
65;4.88
65.25;4.8
65.5;4.84
65.75;4.84
66;4.88
66.25;4.8
66.5;4.8
66.75;4.8
67;4.88
67.25;4.76
67.5;4.84
67.75;4.8
68;4.84
68.25;4.76
68.5;4.8
68.75;4.8
69;4.84
69.25;4.76
69.5;4.8
69.75;4.8
70;4.84
70.25;4.76
70.5;4.8
70.75;4.8
71;4.84
71.25;4.76
71.5;4.8
71.75;4.8
72;4.84
72.25;4.72
72.5;4.8
72.75;4.8
73;4.8
73.25;4.72
73.5;4.76
73.75;4.76
74;4.8
74.25;4.72
74.5;4.76
74.75;4.76
75;4.8
75.25;4.72
75.5;4.76
75.75;4.76
76;4.8
76.25;4.72
76.5;4.72
76.75;4.72
77;4.8
77.25;4.68
77.5;4.76
77.75;4.76
78;4.8
78.25;4.68
78.5;4.72
78.75;4.72
79;4.76
79.25;4.68
79.5;4.72
79.75;4.72
80;4.76
80.25;4.68
80.5;4.72
80.75;4.72
81;4.76
81.25;4.68
81.5;4.72
81.75;4.72
