# Oscilloscope file ./4K-res-20uA-U.bin
# Channel 2
Time / s;Voltage / V
0;0.066
0.25;0.056
0.5;0.06
0.75;0.062
1;0.066
1.25;0.056
1.5;0.062
1.75;0.062
2;0.066
2.25;0.058
2.5;0.062
2.75;0.062
3;0.068
3.25;0.058
3.5;0.06
3.75;0.062
4;0.066
4.25;0.056
4.5;0.062
4.75;0.062
5;0.066
5.25;0.056
5.5;0.062
5.75;0.062
6;0.066
6.25;0.056
6.5;0.062
6.75;0.064
7;0.066
7.25;0.058
7.5;0.062
7.75;0.064
8;0.066
8.25;0.056
8.5;0.062
8.75;0.06
9;0.066
9.25;0.056
9.5;0.062
9.75;0.062
10;0.066
10.25;0.056
10.5;0.062
10.75;0.062
11;0.066
11.25;0.058
11.5;0.064
11.75;0.064
12;0.066
12.25;0.056
12.5;0.06
12.75;0.06
13;0.064
13.25;0.056
13.5;0.06
13.75;0.058
14;0.064
14.25;0.054
14.5;0.058
14.75;0.058
15;0.062
15.25;0.054
15.5;0.056
15.75;0.058
16;0.062
16.25;0.052
16.5;0.054
16.75;0.058
17;0.06
17.25;0.052
17.5;0.056
17.75;0.054
18;0.06
18.25;0.05
18.5;0.056
18.75;0.054
19;0.06
19.25;0.05
19.5;0.054
19.75;0.052
20;0.058
20.25;0.048
20.5;0.052
20.75;0.052
21;0.056
21.25;0.048
21.5;0.052
21.75;0.052
22;0.056
22.25;0.046
22.5;0.05
22.75;0.05
23;0.054
23.25;0.046
23.5;0.048
23.75;0.052
24;0.056
24.25;0.044
24.5;0.05
24.75;0.048
25;0.054
25.25;0.044
25.5;0.048
25.75;0.048
26;0.054
26.25;0.042
26.5;0.046
26.75;0.048
27;0.052
27.25;0.042
27.5;0.046
27.75;0.046
28;0.052
28.25;0.04
28.5;0.046
28.75;0.044
29;0.05
29.25;0.04
29.5;0.044
29.75;0.044
30;0.048
30.25;0.04
30.5;0.044
30.75;0.044
31;0.048
31.25;0.038
31.5;0.042
31.75;0.044
32;0.046
32.25;0.038
32.5;0.042
32.75;0.044
33;0.046
33.25;0.036
33.5;0.04
33.75;0.042
34;0.046
34.25;0.036
34.5;0.042
34.75;0.042
35;0.044
35.25;0.034
35.5;0.04
35.75;0.04
36;0.044
36.25;0.034
36.5;0.038
36.75;0.038
37;0.042
37.25;0.032
37.5;0.038
37.75;0.038
38;0.04
38.25;0.032
38.5;0.036
38.75;0.034
39;0.04
39.25;0.032
39.5;0.038
39.75;0.036
40;0.04
40.25;0.03
40.5;0.034
40.75;0.034
41;0.04
41.25;0.028
41.5;0.034
41.75;0.034
42;0.038
42.25;0.028
42.5;0.036
42.75;0.034
43;0.036
43.25;0.026
43.5;0.034
43.75;0.03
44;0.036
44.25;0.026
44.5;0.034
44.75;0.03
45;0.036
45.25;0.024
45.5;0.028
45.75;0.032
46;0.036
46.25;0.022
46.5;0.03
46.75;0.03
47;0.034
47.25;0.024
47.5;0.028
47.75;0.028
48;0.034
48.25;0.024
48.5;0.026
48.75;0.028
49;0.032
49.25;0.022
49.5;0.028
49.75;0.024
50;0.032
50.25;0.022
50.5;0.026
50.75;0.026
51;0.03
51.25;0.02
51.5;0.026
51.75;0.028
52;0.03
52.25;0.02
52.5;0.024
52.75;0.026
53;0.028
53.25;0.02
53.5;0.024
53.75;0.024
54;0.028
54.25;0.018
54.5;0.022
54.75;0.024
55;0.028
55.25;0.018
55.5;0.024
55.75;0.026
56;0.028
56.25;0.018
56.5;0.022
56.75;0.024
57;0.026
57.25;0.016
57.5;0.022
57.75;0.022
58;0.026
58.25;0.016
58.5;0.024
58.75;0.02
59;0.026
59.25;0.016
59.5;0.018
59.75;0.02
60;0.024
60.25;0.014
60.5;0.02
60.75;0.018
61;0.024
61.25;0.014
61.5;0.018
61.75;0.018
62;0.024
62.25;0.014
62.5;0.018
62.75;0.02
63;0.022
63.25;0.012
63.5;0.016
63.75;0.018
64;0.022
64.25;0.012
64.5;0.018
64.75;0.018
65;0.022
65.25;0.012
65.5;0.016
65.75;0.016
66;0.02
66.25;0.01
66.5;0.014
66.75;0.016
67;0.02
67.25;0.01
67.5;0.012
67.75;0.016
68;0.02
68.25;0.01
68.5;0.016
68.75;0.016
69;0.02
69.25;0.01
69.5;0.014
69.75;0.012
70;0.018
70.25;0.01
70.5;0.014
70.75;0.012
71;0.018
71.25;0.008
71.5;0.016
71.75;0.012
72;0.018
72.25;0.006
72.5;0.014
72.75;0.012
73;0.016
73.25;0.006
73.5;0.012
73.75;0.008
74;0.016
74.25;0.006
74.5;0.014
74.75;0.014
75;0.016
75.25;0.006
75.5;0.012
75.75;0.012
76;0.016
76.25;0.006
76.5;0.008
76.75;0.008
77;0.016
77.25;0.006
77.5;0.008
77.75;0.01
78;0.014
78.25;0.004
78.5;0.01
78.75;0.008
79;0.016
79.25;0.004
79.5;0.008
79.75;0.01
80;0.016
80.25;0.004
80.5;0.008
80.75;0.01
81;0.014
81.25;0.004
81.5;0.012
81.75;0.008
82;0.014
82.25;0.004
82.5;0.006
82.75;0.008
83;0.014
83.25;0.004
83.5;0.01
83.75;0.008
84;0.014
84.25;0.004
84.5;0.008
84.75;0.01
85;0.014
85.25;0.002
85.5;0.004
85.75;0.008
86;0.012
86.25;0.002
86.5;0.006
86.75;0.008
87;0.012
87.25;0.002
87.5;0.008
87.75;0.008
88;0.012
88.25;0
88.5;0.008
88.75;0.008
89;0.012
89.25;0.002
89.5;0.006
89.75;0.008
90;0.012
90.25;0.002
90.5;0.006
90.75;0.008
91;0.01
91.25;0
91.5;0.006
91.75;0.004
92;0.01
92.25;0
92.5;0.004
92.75;0.006
93;0.01
93.25;0
93.5;0.004
93.75;0.006
94;0.01
94.25;0
94.5;0.006
94.75;0.004
95;0.01
95.25;0
95.5;0.004
95.75;0.004
96;0.01
96.25;0
96.5;0.004
96.75;0.004
97;0.01
97.25;0
97.5;0.008
97.75;0.004
98;0.01
98.25;0
98.5;0.006
98.75;0.006
99;0.01
99.25;0
99.5;0.004
99.75;0.004
100;0.01
100.25;-0.002
100.5;0.006
100.75;0.004
101;0.01
101.25;-0.002
101.5;0.006
101.75;0.002
102;0.008
102.25;-0.002
102.5;0.004
102.75;0.006
103;0.01
103.25;-0.002
103.5;0.004
103.75;0.004
104;0.008
104.25;-0.002
104.5;0.004
104.75;0.004
105;0.008
105.25;-0.002
105.5;0.004
105.75;0.004
106;0.008
106.25;-0.002
106.5;0.004
106.75;0.004
107;0.008
107.25;-0.002
107.5;0.004
107.75;0.004
108;0.008
108.25;-0.002
108.5;0
108.75;0.002
109;0.008
109.25;-0.002
109.5;0.004
109.75;0
110;0.008
110.25;-0.002
110.5;0.004
110.75;0.004
111;0.008
111.25;-0.002
111.5;0.002
111.75;0.004
112;0.008
112.25;-0.002
112.5;0.004
112.75;0.002
113;0.008
113.25;-0.002
113.5;0
113.75;0.002
114;0.008
114.25;-0.004
114.5;0.006
114.75;0.002
115;0.008
115.25;-0.002
115.5;0.004
115.75;0.002
116;0.008
116.25;-0.004
116.5;0.004
116.75;0.004
117;0.008
117.25;-0.004
117.5;0.004
117.75;0.002
118;0.008
118.25;-0.004
118.5;0.002
118.75;0.004
119;0.008
119.25;-0.002
119.5;0.002
119.75;0.002
120;0.008
120.25;-0.002
120.5;0.006
120.75;0.002
121;0.008
121.25;-0.004
121.5;0.004
121.75;0.004
122;0.008
122.25;-0.004
122.5;0.002
122.75;0.002
123;0.008
123.25;-0.002
123.5;0
123.75;0.004
124;0.008
124.25;-0.004
124.5;0.002
124.75;0
125;0.008
125.25;-0.004
125.5;0.002
125.75;0.002
126;0.008
126.25;-0.002
126.5;0.002
126.75;0.002
127;0.008
127.25;-0.002
127.5;0
127.75;0.004
128;0.008
128.25;-0.004
128.5;0.004
128.75;0.002
129;0.006
129.25;-0.004
129.5;0.004
129.75;0.002
130;0.008
130.25;-0.004
130.5;0.002
130.75;0
131;0.008
131.25;-0.004
131.5;0.002
131.75;0
132;0.008
132.25;-0.004
132.5;0.004
132.75;0.004
133;0.008
133.25;-0.004
133.5;0.002
133.75;0.002
134;0.006
134.25;-0.004
134.5;0.002
134.75;0.002
135;0.008
135.25;-0.004
135.5;0.004
135.75;0.002
136;0.006
136.25;-0.004
136.5;0.002
136.75;0.002
137;0.008
137.25;-0.004
137.5;0
137.75;0.002
138;0.008
138.25;-0.004
138.5;0
