# carbon, characteristic
#T[kelvin] R[ohm]
1.7001 51798.54
1.9002 32561.97
2.1002 22249.31
2.3004 16170.51
2.5004 12309.85
2.7004 9736.681
2.9109 7529.325
2.9980 7228.583
3.1989 6085.077
3.3990 5228.031
3.5990 4557.442
3.7994 4022.661
3.9994 3592.846
4.1995 3238.647
4.3996 2945.176
4.5997 2698.205
4.7999 2487.494
4.9999 2307.390
5.1999 2150.963
5.4002 2014.607
5.6002 1894.938
5.8004 1789.242
6.0004 1695.420
5.9974 1696.954
6.4982 1501.218
6.9983 1350.575
7.4983 1230.492
7.9984 1133.255
8.4985 1052.743
8.9988 985.1456
9.4990 927.9371
10.001 878.6352
10.003 878.4474
12.503 710.2549
15.004 611.8741
17.504 547.1498
20.004 501.0436
22.504 466.1555
25.005 438.7639
27.505 416.3541
30.006 397.7308
32.506 382.5792
35.006 369.6339
37.506 358.3591
40.007 348.4999
42.507 339.7591
45.009 332.1488
47.509 325.0906
