# PT100, characteristic
#T[ke1vin] R[ohm]
4.1969 0.614152
5.1972 0.616699
6.0428 0.619724
6.3112 0.620902
7.3114 0.627153
8.3115 0.635169
9.3118 0.646049
10.312 0.660735
11.313 0.679611
12.313 0.703275
13.314 0.732133
14.314 0.766929
15.316 0.807933
16.319 0.855921
17.319 0.911066
18.320 0.974301
19.321 1.045832
20.321 1.126558
21.321 1.216931
22.321 1.317078
23.321 1.428459
24.321 1.550910
25.321 1.685568
26.322 1.832361
27.322 1.992102
28.322 2.165915
29.323 2.352521
30.324 2.543490
31.325 2.745608
32.325 2.959168
33.325 3.182836
34.325 3.417365
35.325 3.662905
36.325 3.916725
37.325 4.181210
38.325 4.455549
39.325 4.738737
40.325 5.030435
41.325 5.330345
42.325 5.639259
43.325 5.956463
44.325 6.271128
45.325 6.598959
46.326 6.934301
47.328 7.274299
48.329 7.622393
49.329 7.975537
50.329 8.333793
51.330 8.697774
52.331 9.064351
53.331 9.437255
54.331 9.813915
55.331 10.19567
56.334 10.58137
57.335 10.96938
58.338 11.36207
59.338 11.75677
60.338 12.15226
61.338 12.55194
62.338 12.95719
63.338 13.36312
64.339 13.77086
65.339 14.18045
66.339 14.59313
67.339 15.00912
68.339 15.42421
69.339 15.84123
70.340 16.26360
71.340 16.68202
72.340 17.10782
73.340 17.53204
74.340 17.95427
75.340 18.38526
76.342 18.81591
77.173 19.17015
78.173 19.59876
79.173 20.03026
80.173 20.46563
81.174 20.98950
82.174 21.33042
83.174 21.76798
84.174 22.20685
85.175 22.64636
86.175 23.08420
87.175 23.52568
88.175 23.96395
89.176 24.40816
