# R over R(T) - cooldown - carbon thermometer
# R(T) [kohm]	R_cu [mV]	R_si [mV]	R_nb [mV]
0.332	0.074	0.24	25.23
0.345	0.061	0.26	24.88
0.361	0.051	0.28	24.59
0.371	0.047	0.30	24.45
0.383	0.043	0.32	24.30
0.393	0.040	0.34	24.20
0.405	0.39	0.38	21.11
0.421	0.036	0.42	24.02
0.442	0.035	0.49	23.93
0.463	0.034	0.57	23.85
0.548	0.032	0.97	23.73
0.669	0.031	1.91	23.67
0.875	0.031	5.40	23.61
0.980	0.031	7.80	23.58
1.017	0.031	11.60	0.02
1.185	0.031	24.01	0.01
1.309	0.031	42.82	0
1.330	0.031	48.65	0
1.334	0.030	50	0
