# R over R(T) - cooldown - platinum thermometer
# R(T) [ohm]	R_cu [mV]	R_si [mV]	R_nb [mV]
100	2.019	0.09	54.69
98	1.977	0.09	54.14
96	1.932	0.09	53.56
94	1.889	0.09	52.98
92	1.852	0.10	52.44
90	1.818	0.10	51.93
88	1.780	0.10	51.36
86	1.740	0.10	50.78
84	1.696	0.10	50.15
82	1.660	0.10	49.58
80	1.622	0.10	48.97
78	1.582	0.10	48.36
76	1.542	0.10	47.76
74	1.498	0.11	47.11
72	1.454	0.11	46.46
70	1.410	0.11	45.83
68	1.365	0.11	45.17
66	1.321	0.11	44.53
64	1.277	0.11	43.89
62	1.231	0.11	43.23
60	1.187	0.12	42.60
58	1.141	0.12	41.96
56	1.096	0.12	41.32
54	1.053	0.12	40.68
52	1.011	0.12	40.07
50	0.971	0.13	39.52
48	0.933	0.13	38.95
46	0.893	0.14	38.30
44	0.852	0.13	37.69
42	0.810	0.14	37.07
40	0.767	0.14	36.45
38	0.722	0.15	35.80
36	0.676	0.15	35.14
34	0.630	0.16	34.50
32	0.584	0.15	33.84
30	0.537	0.16	33.18
28	0.491	0.17	32.53
26	0.454	0.17	31.95
24	0.419	0.17	31.35
22	0.377	0.18	30.72
20	0.332	0.18	30.03
18	0.287	0.19	29.34
16	0.254	0.19	28.76
14	0.217	0.19	27.60
12	0.180	0.20	27.44
10	0.143	0.21	26.75
