# T (celsius)
# I (mA)
# U_L (B=0, V)
# U_H_+ (B=0.5T, mV)
# U_H_- (B=-0.5T, mV)
# T	I	U_L	U_H_+	U_H_-
-180	1	0.891	-168	194
-170	1	0.807	-167.3	195.4
-160	1	0.762	-165.8	196.4
-150	1	0.74	-163.55	196.2
-140	1	0.74	-160	195.7
-130	1	0.757	-155.8	194.6
-120	1	0.79	-150	192.4
-110	1	0.836	-143.3	188.9
-100	1	0.887	-136.87	185.46
-90	1	0.939	-130	181.2
-80	1	0.997	-122	177.7
-70	1	1.048	-116.5	173.6
-60	1	1.116	-107.3	169.6
-50	1	1.168	-102	165.9
-40	1	1.217	-95	163.4
-30	1	1.268	-90.49	158.1
-20	1	1.308	-82	154.5
-10	1	1.316	-71.88	139
0	1	1.235	-60.59	121.8
10	1	1.046	-48.33	80.51
20	1	0.817	-34.1	54.3
30	1	0.573	-23.4	28.4
40	1	0.395	-13.55	18.0
50	1	0.254	-8.42	9.76
60	1	0.177	-5.40	6.50
70	1	0.125	-3.72	4.42
80	1	0.091	-2.23	3.33
90	1	0.062	-1.34	2.26
100	1	0.046	-0.76	1.84
110	1	0.033	-0.38	1.42
120	3	0.081	-1.44	2.48
130	3	0.062	-0.94	1.95
140	3	0.049	-0.55	1.64
150	3	0.039	-0.28	1.33
