# T (celsius)
# I (µA)
# U_L (B=0, mV)
# U_H_+ (B=0.5T, mV)
# U_H_- (B=-0.5T, mV)
# T	I	U_L	U_H_+	U_H_-
-180	19.99	1.00	-28.17	28.28
-170	19.91	1.40	-29.5	29.06
-160	19.89	1.86	-30.6	29.81
-150	19.86	2.58	-32.68	32.8
-140	19.82	3.51	-35.96	35.27
-130	19.97	4.69	-37.9	39.1
-120	19.74	6.01	-42.1	41.1
-110	19.69	7.07	-41.95	41.6
-100	19.67	7.65	-39.86	39.73
-90	19.64	8.48	-38.83	38.4
-80	19.61	9.52	-38.75	38.23
-70	19.55	10.83	-39.23	38.73
-60	19.56	10.51	-33.9	34.9
-50	19.56	10.93	-32	31.9
-40	19.54	11.53	-30.8	30.62
-30	19.52	12.15	-29.4	29.12
-20	19.5	12.63	-28.1	27.90
-10	19.49	13.06	-26.64	26.45
0	19.47	13.50	-25.3	25.14
