# f (Hz)	I (uA)	Phi (deg)
5,000000	374,703949	-1,400856
6,699045	370,265198	-4,553137
8,975049	364,949799	-6,700060
12,025735	357,576660	-8,730232
16,112141	349,064209	-10,844723
21,586617	346,141296	-12,991644
28,922632	328,190155	-15,300718
38,752178	316,118378	-17,746000
51,921082	301,268738	-20,282089
69,565216	285,062561	-22,993303
93,196648	271,830841	-26,203953
124,766068	250,343414	-29,388655
167,364014	230,178406	-32,845776
224,215240	209,580139	-36,490990
300,300293	189,628326	-40,492947
402,414490	168,111832	-44,598679
539,083557	146,650940	-48,808189
966,183594	107,158432	-57,266125
1298,701294	88,707924	-61,748055
1739,130493	72,452301	-65,879730
2325,581299	58,601036	-69,706558
3125,000000	46,279671	-73,267456
4166,666504	36,639904	-76,510536
5555,555664	28,650915	-79,208778
7407,407227	22,362703	-81,900536
