# lambda (nm)	I (mA)
450,000000	0,263607
460,000000	0,257820
470,000000	0,252883
480,000000	0,252736
490,000000	0,277798
500,000000	0,324094
510,000000	0,392737
520,000000	0,506518
530,000000	0,757893
540,000000	0,946124
550,000000	0,795485
560,000000	0,530444
570,000000	0,374508
580,000000	0,339055
590,000000	0,329285
600,000000	0,311948
610,000000	0,307045
620,000000	0,292217
630,000000	0,278008
640,000000	0,266754
650,000000	0,256240
660,000000	0,245941
670,000000	0,218457
680,000000	0,195532
690,000000	0,169453
700,000000	0,141681
